Target_Row,State,Strain,HIV,Age,Target,Current,Round,Old
0,HPV,LOW_RISK,NORMAL,<30,10.4,1,0,
1,HPV,LOW_RISK,NORMAL,30_40,14.3,1,1,
2,HPV,LOW_RISK,NORMAL,40_50,19.1,1,2,
3,HPV,LOW_RISK,NORMAL,50_60,17.8,1,3,
4,HPV,HIGH_RISK,NORMAL,<30,28.3,1,1,
5,HPV,HIGH_RISK,NORMAL,30_40,23.2,1,5,
6,HPV,HIGH_RISK,NORMAL,40_50,19.9,1,8,
7,HPV,HIGH_RISK,NORMAL,50_60,18.1,1,11,
8,HPV,SIXTEEN,NORMAL,<30,6,1,1,
9,HPV,SIXTEEN,NORMAL,30_40,5,1,5,
10,HPV,SIXTEEN,NORMAL,40_50,2.5,1,8,
11,HPV,SIXTEEN,NORMAL,50_60,2.2,1,11,
12,HPV,EIGHTEEN,NORMAL,<30,2.1,1,1,
13,HPV,EIGHTEEN,NORMAL,30_40,1.7,1,5,
14,HPV,EIGHTEEN,NORMAL,40_50,0.9,1,8,
15,HPV,EIGHTEEN,NORMAL,50_60,0.7,1,11,
16,CIN2,HIGH_RISK,NORMAL,20_25,0.445,1,2,0.402748414
17,CIN2,HIGH_RISK,NORMAL,25_30,0.417,1,3,0.593742508
18,CIN2,HIGH_RISK,NORMAL,30_40,0.469,1,6,0.485789325
19,CIN2,HIGH_RISK,NORMAL,40_50,0.443,1,9,0.298947277
20,CIN2,HIGH_RISK,NORMAL,50_60,0.443,1,12,0.174385911
21,CIN2,HIGH_RISK,NORMAL,60_80,0.443,1,14,0.18061398
22,CIN2,SIXTEEN,NORMAL,20_25,0.374,1,2,0.364693446
23,CIN2,SIXTEEN,NORMAL,25_30,0.361,1,3,0.537640854
24,CIN2,SIXTEEN,NORMAL,30_40,0.322,1,6,0.439887971
25,CIN2,SIXTEEN,NORMAL,40_50,0.242,1,9,0.27070029
26,CIN2,SIXTEEN,NORMAL,50_60,0.242,1,12,0.157908502
27,CIN2,SIXTEEN,NORMAL,60_80,0.242,1,14,0.163548092
28,CIN2,EIGHTEEN,NORMAL,20_25,0.052,1,2,0.05179704
29,CIN2,EIGHTEEN,NORMAL,25_30,0.075,1,3,0.076360585
30,CIN2,EIGHTEEN,NORMAL,30_40,0.062,1,6,0.062476842
31,CIN2,EIGHTEEN,NORMAL,40_50,0.064,1,9,0.038447288
32,CIN2,EIGHTEEN,NORMAL,50_60,0.064,1,12,0.022427584
33,CIN2,EIGHTEEN,NORMAL,60_80,0.064,1,14,0.02322857
16,CIN3,HIGH_RISK,NORMAL,20_25,0.283,1,2,0.402748414
17,CIN3,HIGH_RISK,NORMAL,25_30,0.282,1,3,0.593742508
18,CIN3,HIGH_RISK,NORMAL,30_40,0.385,1,6,0.485789325
19,CIN3,HIGH_RISK,NORMAL,40_50,0.408,1,9,0.298947277
20,CIN3,HIGH_RISK,NORMAL,50_60,0.408,1,12,0.174385911
21,CIN3,HIGH_RISK,NORMAL,60_80,0.408,1,14,0.18061398
22,CIN3,SIXTEEN,NORMAL,20_25,0.615,1,2,0.364693446
23,CIN3,SIXTEEN,NORMAL,25_30,0.61,1,3,0.537640854
24,CIN3,SIXTEEN,NORMAL,30_40,0.453,1,6,0.439887971
25,CIN3,SIXTEEN,NORMAL,40_50,0.411,1,9,0.27070029
26,CIN3,SIXTEEN,NORMAL,50_60,0.411,1,12,0.157908502
27,CIN3,SIXTEEN,NORMAL,60_80,0.411,1,14,0.163548092
28,CIN3,EIGHTEEN,NORMAL,20_25,0.035,1,2,0.05179704
29,CIN3,EIGHTEEN,NORMAL,25_30,0.042,1,3,0.076360585
30,CIN3,EIGHTEEN,NORMAL,30_40,0.065,1,6,0.062476842
31,CIN3,EIGHTEEN,NORMAL,40_50,0.052,1,9,0.038447288
32,CIN3,EIGHTEEN,NORMAL,50_60,0.052,1,12,0.022427584
33,CIN3,EIGHTEEN,NORMAL,60_80,0.052,1,14,0.02322857
34,CANCER,ALL,NORMAL,<30,6,1,4,2.9
35,CANCER,ALL,NORMAL,30_40,33,1,7,19
36,CANCER,ALL,NORMAL,40_50,42,1,10,31.6
37,CANCER,ALL,NORMAL,50_60,41,1,13,37
38,CANCER,ALL,NORMAL,60_70,33,1,15,41.5
39,CANCER,ALL,NORMAL,70+,25,1,16,43.3
