Category,Type,Age_Group,Run Value,,,,
Cervical_Cancer,Incidence,20_25,3.6832,,,,
Cervical_Cancer,Incidence,25_30,10.1102,,,,
Cervical_Cancer,Incidence,30_35,20.6532,,,,
Cervical_Cancer,Incidence,35_40,35.3373,,,,
Cervical_Cancer,Incidence,40_45,36.2718,,,,
Cervical_Cancer,Incidence,45_50,35.2123,,,,
Cervical_Cancer,Incidence,50_55,30.8273,,,,
Cervical_Cancer,Incidence,55_60,28.3748,,,,
Cervical_Cancer,Incidence,60_65,25.2332,,,,
Cervical_Cancer,Incidence,65_70,20.3833,,,,
Cervical_Cancer,Incidence,70_75,21.1323,,,,
Cervical_Cancer,Incidence,75_80,20.1833,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
